id,species,margin1,margin2,margin3,margin4,margin5,margin6,margin7,margin8,margin9,margin10,margin11,margin12,margin13,margin14,margin15,margin16,margin17,margin18,margin19,margin20,margin21,margin22,margin23,margin24,margin25,margin26,margin27,margin28,margin29,margin30,margin31,margin32,margin33,margin34,margin35,margin36,margin37,margin38,margin39,margin40,margin41,margin42,margin43,margin44,margin45,margin46,margin47,margin48,margin49,margin50,margin51,margin52,margin53,margin54,margin55,margin56,margin57,margin58,margin59,margin60,margin61,margin62,margin63,margin64,shape1,shape2,shape3,shape4,shape5,shape6,shape7,shape8,shape9,shape10,shape11,shape12,shape13,shape14,shape15,shape16,shape17,shape18,shape19,shape20,shape21,shape22,shape23,shape24,shape25,shape26,shape27,shape28,shape29,shape30,shape31,shape32,shape33,shape34,shape35,shape36,shape37,shape38,shape39,shape40,shape41,shape42,shape43,shape44,shape45,shape46,shape47,shape48,shape49,shape50,shape51,shape52,shape53,shape54,shape55,shape56,shape57,shape58,shape59,shape60,shape61,shape62,shape63,shape64,texture1,texture2,texture3,texture4,texture5,texture6,texture7,texture8,texture9,texture10,texture11,texture12,texture13,texture14,texture15,texture16,texture17,texture18,texture19,texture20,texture21,texture22,texture23,texture24,texture25,texture26,texture27,texture28,texture29,texture30,texture31,texture32,texture33,texture34,texture35,texture36,texture37,texture38,texture39,texture40,texture41,texture42,texture43,texture44,texture45,texture46,texture47,texture48,texture49,texture50,texture51,texture52,texture53,texture54,texture55,texture56,texture57,texture58,texture59,texture60,texture61,texture62,texture63,texture64
1,Acer_Opalus,0.007812,0.023438,0.023438,0.003906,0.011719,0.009766,0.027344,0,0.001953,0.033203,0.013672,0.019531,0.066406,0,0.029297,0,0.03125,0.011719,0,0.025391,0.023438,0.001953,0,0.015625,0,0.03125,0,0.013672,0.029297,0.015625,0.011719,0.003906,0.025391,0,0.001953,0.011719,0.009766,0.041016,0.037109,0.019531,0,0.009766,0.021484,0.015625,0.007812,0.013672,0.027344,0.0625,0,0.017578,0.03125,0,0.044922,0.007812,0.025391,0.003906,0.013672,0.015625,0.013672,0.003906,0.005859,0.003906,0.019531,0.001953,0.00064671,0.00060945,0.0005765,0.0005534,0.00051575,0.00049629,0.00047438,0.00045284,0.00045398,0.00042897,0.00041751,0.00040968,0.00040551,0.00039822,0.00039905,0.00038939,0.00039857,0.00041616,0.00041438,0.00043008,0.00042179,0.00043667,0.00045212,0.00046713,0.00047021,0.00048446,0.0004891,0.00048976,0.00047542,0.00048608,0.00048383,0.00049999,0.00051287,0.00051148,0.00051886,0.00051302,0.0005016,0.00049765,0.00048718,0.0004707,0.00045796,0.00043969,0.00043607,0.0004267,0.00039426,0.00038507,0.00038236,0.00036998,0.00036658,0.0003726,0.00038577,0.00038888,0.00039102,0.00041379,0.00042159,0.00043435,0.00045229,0.00047083,0.00048544,0.00051234,0.00053558,0.00055327,0.00060969,0.0006605,0.049805,0.017578,0.003906,0.024414,0.001953,0.010742,0.035156,0.007812,0.039062,0.0625,0,0,0.007812,0.007812,0,0,0.047852,0,0.054688,0.022461,0,0.000977,0.018555,0.001953,0.008789,0.015625,0.044922,0,0.037109,0.012695,0.02832,0,0.019531,0.026367,0.005859,0,0.004883,0.016602,0.03418,0.056641,0.006836,0.000977,0.022461,0.037109,0.004883,0.021484,0.035156,0.000977,0.004883,0.015625,0,0,0.006836,0.037109,0.007812,0,0.00293,0.00293,0.035156,0,0,0.004883,0,0.025391
2,Pterocarya_Stenoptera,0.005859,0,0.03125,0.015625,0.025391,0.001953,0.019531,0,0,0.007812,0.003906,0.027344,0.023438,0,0.033203,0,0.009766,0.009766,0.007812,0.007812,0.019531,0.007812,0,0,0.007812,0.027344,0.003906,0.037109,0.007812,0.048828,0.054688,0.027344,0.003906,0,0,0.003906,0.013672,0.033203,0.033203,0.019531,0.03125,0.009766,0.007812,0.03125,0.001953,0.039062,0.029297,0.03125,0.035156,0,0.007812,0,0.046875,0.046875,0.029297,0.009766,0.017578,0.007812,0.013672,0.019531,0,0,0.003906,0,0.00074942,0.00069461,0.0007198,0.00070948,0.00068849,0.00066046,0.00062381,0.00058531,0.00055583,0.00053091,0.00050553,0.00048417,0.00046714,0.00045311,0.0004424,0.0004347,0.00043541,0.00043311,0.00044305,0.00046024,0.00047142,0.00048563,0.00051198,0.00053842,0.000567,0.00060459,0.00064376,0.00068698,0.00073141,0.00077748,0.00083219,0.00088429,0.00090166,0.00086166,0.00084172,0.0007829,0.00073129,0.00067913,0.00063886,0.00059633,0.00056019,0.00052754,0.00049597,0.00047412,0.00046162,0.00044696,0.00043426,0.00043348,0.00043533,0.00043631,0.00044743,0.00046355,0.00047893,0.0004963,0.00051774,0.00054563,0.00057398,0.00060783,0.00064104,0.00067412,0.00070265,0.00070739,0.0006884,0.00074675,0,0,0.007812,0.079102,0,0.039062,0.000977,0,0.027344,0.003906,0,0,0.014648,0.041016,0,0,0.003906,0,0.020508,0.006836,0,0.001953,0.026367,0.020508,0.050781,0.001953,0.021484,0.003906,0.027344,0.023438,0.0625,0,0.038086,0,0.019531,0,0.001953,0.003906,0.015625,0.004883,0.10449,0,0.061523,0.007812,0.008789,0.013672,0.011719,0.001953,0.035156,0.007812,0,0,0.053711,0.036133,0.000977,0,0,0.000977,0.023438,0,0,0.000977,0.039062,0.022461
3,Quercus_Hartwissiana,0.005859,0.009766,0.019531,0.007812,0.003906,0.005859,0.068359,0,0,0.044922,0.007812,0.011719,0.021484,0.001953,0.025391,0,0.009766,0.011719,0.007812,0.005859,0.041016,0.001953,0,0.015625,0,0.009766,0.001953,0.009766,0.009766,0.015625,0.005859,0,0.017578,0.007812,0.005859,0.009766,0.019531,0.042969,0.021484,0.001953,0,0.005859,0.015625,0.009766,0.011719,0.011719,0.03125,0.10938,0,0.046875,0.03125,0,0.035156,0,0.10547,0,0.015625,0.015625,0.019531,0.001953,0,0.005859,0.011719,0.007812,0.00097311,0.00091025,0.00087015,0.00082612,0.00079573,0.00076342,0.00072933,0.00070181,0.00066375,0.00062857,0.00059769,0.00056993,0.00054563,0.0005262,0.00050005,0.00049443,0.00048438,0.0004902,0.00049106,0.00050741,0.00052463,0.00056266,0.00060433,0.00066326,0.00070833,0.00076308,0.00082441,0.00088587,0.00095649,0.0010303,0.0011021,0.0011779,0.0011926,0.0011178,0.0010486,0.00098242,0.00091935,0.0008624,0.00080939,0.00076113,0.00070237,0.00065397,0.00061421,0.0005739,0.00054917,0.00052426,0.00051092,0.00049375,0.00049475,0.00049702,0.00051032,0.00053295,0.00055168,0.00058667,0.00061046,0.00063864,0.00066957,0.00069733,0.00073939,0.00078929,0.00083566,0.0008824,0.00091113,0.00097073,0.003906,0.047852,0.008789,0,0.097656,0.005859,0.003906,0.10156,0.032227,0,0,0.066406,0.007812,0.006836,0,0,0.057617,0,0,0.027344,0,0,0.070312,0,0.000977,0,0.000977,0.003906,0.035156,0.015625,0.027344,0,0,0.008789,0.015625,0,0,0.011719,0.000977,0.000977,0,0,0,0.005859,0.022461,0.020508,0.021484,0.056641,0.010742,0.008789,0,0,0.000977,0,0.1543,0,0.005859,0.000977,0.007812,0,0,0,0.020508,0.00293
5,Tilia_Tomentosa,0,0.003906,0.023438,0.005859,0.021484,0.019531,0.023438,0,0.013672,0.017578,0.001953,0.019531,0.001953,0.003906,0.035156,0,0.005859,0,0.001953,0.003906,0.039062,0.009766,0,0.009766,0.005859,0.027344,0.001953,0.017578,0.003906,0.021484,0.027344,0.027344,0,0.003906,0.011719,0.003906,0.005859,0.044922,0.056641,0.027344,0.015625,0.007812,0.017578,0.029297,0.001953,0.042969,0.085938,0.037109,0.029297,0.007812,0.013672,0,0.052734,0.03125,0.037109,0.017578,0.003906,0,0.001953,0.003906,0.003906,0,0.003906,0.005859,0.00045312,0.00046534,0.00047288,0.0004827,0.0004919,0.00049293,0.00049205,0.00049209,0.00049584,0.00049657,0.00047516,0.00045005,0.00042754,0.00040137,0.00036968,0.00034233,0.00032813,0.00032421,0.0003678,0.00040371,0.00035028,0.00035503,0.00040249,0.00045438,0.00048424,0.0004984,0.00049318,0.00048478,0.00047597,0.0004786,0.00048605,0.00048653,0.00049708,0.00050098,0.00048963,0.00048148,0.00047339,0.00046315,0.00044443,0.00043519,0.00043475,0.00042133,0.00041779,0.00041002,0.00040942,0.0003979,0.00041049,0.00040334,0.00042358,0.000417,0.00042136,0.00043392,0.0004691,0.00052004,0.0005287,0.00048024,0.00044911,0.00043663,0.00043653,0.00043017,0.00042913,0.00043073,0.00043803,0.00044318,0.023438,0.000977,0.007812,0.020508,0,0,0.013672,0.004883,0.006836,0.095703,0.015625,0,0,0.009766,0,0,0,0,0.03418,0.012695,0,0.033203,0.00293,0,0.005859,0.019531,0.12402,0,0.017578,0.000977,0.016602,0.009766,0.006836,0.000977,0.005859,0,0.000977,0.001953,0.09668,0.016602,0.12695,0,0.036133,0.055664,0,0.001953,0.027344,0,0.006836,0.017578,0.004883,0,0.006836,0.022461,0,0.000977,0,0,0.020508,0,0,0.017578,0,0.047852
6,Quercus_Variabilis,0.005859,0.003906,0.048828,0.009766,0.013672,0.015625,0.005859,0,0,0.005859,0.001953,0.044922,0.041016,0.011719,0.041016,0,0.009766,0.015625,0.011719,0.007812,0.021484,0,0,0,0.015625,0.009766,0.001953,0.017578,0.041016,0.005859,0.021484,0.013672,0.017578,0,0.005859,0.009766,0.027344,0.083984,0.027344,0.027344,0.001953,0.001953,0.017578,0.007812,0.009766,0.011719,0.080078,0.039062,0.009766,0,0.029297,0,0.023438,0.021484,0.003906,0.017578,0.015625,0.001953,0.041016,0.005859,0,0,0.017578,0,0.00068161,0.00059775,0.0005088,0.0003851,0.00029893,0.00033016,0.00042727,0.00053625,0.00064107,0.00064545,0.00059717,0.00058109,0.00062,0.00070857,0.00075318,0.00083917,0.00093519,0.0010141,0.0010222,0.00111,0.0012182,0.0011424,0.0010299,0.000961,0.00096961,0.00088437,0.00081631,0.00074514,0.00066462,0.00069098,0.00066922,0.00059396,0.0004861,0.00041483,0.00034744,0.00037219,0.00047547,0.00050803,0.00057742,0.00064112,0.00063873,0.00051884,0.00048291,0.00060005,0.00071517,0.00080181,0.00088679,0.00081838,0.00079189,0.00090917,0.0010153,0.001044,0.0010651,0.0009993,0.00097253,0.00086311,0.00088958,0.00091129,0.0008142,0.00068269,0.00059302,0.00062193,0.00073521,0.00075515,0.039062,0.036133,0.003906,0.003906,0.046875,0,0.041016,0.041016,0,0.010742,0,0.018555,0,0,0,0,0.001953,0,0.006836,0.008789,0,0,0.036133,0,0,0,0.040039,0.005859,0.005859,0,0.003906,0,0,0.11035,0,0,0,0.087891,0.023438,0.007812,0,0,0.008789,0.017578,0.021484,0.061523,0.026367,0.13281,0,0,0,0,0,0.001953,0.09668,0,0.021484,0,0,0,0,0,0,0.03125
8,Magnolia_Salicifolia,0.070312,0.09375,0.033203,0.001953,0,0.15234,0.007812,0,0.003906,0.027344,0.058594,0,0.0625,0.001953,0,0,0.027344,0.03125,0.003906,0.021484,0.001953,0.001953,0,0,0.001953,0.015625,0,0,0.021484,0.001953,0,0,0.03125,0,0.041016,0.050781,0.021484,0.007812,0.001953,0,0,0.015625,0.007812,0.005859,0.009766,0,0.001953,0.003906,0,0,0.037109,0,0.011719,0,0,0,0.023438,0.017578,0.013672,0.001953,0,0,0.050781,0.001953,0.00039032,0.00034683,0.00032927,0.00029459,0.00032314,0.00027185,0.00023863,0.00029906,0.00036031,0.00032516,0.00029868,0.00029515,0.00026248,0.00025878,0.00033568,0.00027292,0.00024219,0.00027334,0.00027597,0.00031052,0.00034382,0.00032844,0.00027174,0.00023572,0.00028463,0.00030424,0.00032216,0.00032641,0.00038006,0.00043733,0.00038053,0.00031812,0.00025792,0.00018641,0.00013427,0.000097615,0.000078312,0.000064013,0.00011163,0.00017926,0.00013706,0.00020728,0.00028203,0.00029323,0.00034187,0.00039254,0.00044202,0.0005086,0.00043706,0.000389,0.00035349,0.00029048,0.00028834,0.00021683,0.00026,0.0002411,0.00017994,0.00012837,0.000090678,0.00012468,0.00017709,0.00025204,0.00032083,0.00039927,0.026367,0.00293,0.009766,0,0.089844,0.001953,0.010742,0.023438,0.012695,0,0,0.22949,0.00293,0.037109,0,0,0.000977,0,0.000977,0.014648,0,0.005859,0.011719,0,0.007812,0,0,0.000977,0.006836,0.007812,0.026367,0,0,0.042969,0.013672,0,0,0.051758,0,0.004883,0,0,0.000977,0.000977,0.023438,0.043945,0.009766,0.040039,0.004883,0.008789,0,0,0,0.013672,0.14551,0,0.041992,0,0.005859,0,0,0,0.001953,0.013672
10,Quercus_Canariensis,0.021484,0.03125,0.017578,0.009766,0.001953,0.042969,0.039062,0,0.003906,0.019531,0.035156,0.015625,0.058594,0.003906,0.011719,0,0.011719,0.025391,0.011719,0.011719,0.037109,0.007812,0,0.009766,0.007812,0.005859,0.003906,0.003906,0.03125,0.001953,0.005859,0.001953,0.019531,0,0.003906,0.017578,0.007812,0.03125,0.013672,0.001953,0,0.011719,0.068359,0.005859,0.025391,0.005859,0.029297,0.046875,0,0.056641,0.013672,0,0.019531,0,0.013672,0.007812,0.005859,0.029297,0.041016,0.011719,0.003906,0.001953,0.013672,0.001953,0.00092122,0.00096232,0.00089983,0.00083692,0.00079877,0.00076871,0.00072488,0.00071135,0.00068854,0.0006658,0.00064303,0.00062544,0.00061305,0.00060018,0.00060294,0.00060591,0.00058928,0.00058908,0.00059697,0.00062032,0.00061267,0.00064861,0.00066447,0.00067424,0.00065519,0.00067749,0.00068842,0.00070044,0.00074827,0.00076623,0.00080003,0.00081907,0.00087062,0.0008619,0.00083066,0.00078746,0.00076235,0.00072646,0.00071041,0.00067617,0.00064484,0.00061628,0.00062262,0.00061647,0.00061891,0.00062396,0.00060952,0.00059374,0.00061235,0.00060529,0.000607,0.00062123,0.00063712,0.00064791,0.00066255,0.00067309,0.00069818,0.00072732,0.00074631,0.00076671,0.00078596,0.0008053,0.0008272,0.00086023,0.003906,0.024414,0.013672,0,0.078125,0.03125,0.007812,0.053711,0.010742,0,0,0.005859,0.027344,0.005859,0,0.001953,0.046875,0,0.003906,0.02832,0,0.001953,0.082031,0.001953,0.001953,0,0.004883,0.014648,0.001953,0.027344,0.000977,0,0,0.025391,0.014648,0,0,0.038086,0,0,0,0.010742,0.012695,0.023438,0.1084,0.030273,0.026367,0.041016,0.008789,0,0,0,0,0,0.085938,0,0.040039,0,0.009766,0,0,0,0.039062,0.003906
11,Quercus_Rubra,0,0,0.037109,0.050781,0.003906,0,0.003906,0,0.048828,0.003906,0.001953,0.005859,0.007812,0.03125,0.005859,0,0,0.009766,0.03125,0.003906,0.052734,0.005859,0,0.001953,0.011719,0.007812,0.017578,0.023438,0.099609,0.009766,0.011719,0.001953,0.003906,0,0,0.009766,0.017578,0.056641,0.005859,0.001953,0.003906,0.033203,0.003906,0.005859,0.083984,0,0.033203,0.001953,0.019531,0.029297,0.007812,0.005859,0.005859,0.009766,0,0.001953,0.003906,0.017578,0.076172,0.015625,0,0.015625,0.015625,0.023438,0.00077608,0.00075474,0.0007276,0.00072815,0.00077236,0.00080036,0.00082546,0.00086212,0.00090742,0.00096678,0.0010309,0.0011021,0.0011834,0.0012618,0.0013509,0.0014419,0.0015023,0.0015632,0.001683,0.0017944,0.0018031,0.0016832,0.001572,0.0014758,0.0013883,0.0012899,0.001201,0.0011151,0.0010361,0.0009762,0.0009117,0.0008547,0.00079578,0.00075314,0.00072837,0.00071572,0.00071223,0.0007371,0.0007769,0.00081475,0.00086339,0.00092543,0.00096928,0.0010331,0.0011127,0.0011928,0.0012783,0.0013746,0.0014684,0.0015727,0.0016892,0.0017562,0.0017214,0.001607,0.0014976,0.0013843,0.0012818,0.0011839,0.0011007,0.0010436,0.0010029,0.0009378,0.00086483,0.00081063,0.018555,0,0.036133,0,0.052734,0,0.011719,0.020508,0.000977,0,0.014648,0.033203,0.013672,0.011719,0,0.006836,0,0.003906,0.001953,0.013672,0.017578,0.027344,0,0.000977,0.007812,0.000977,0.008789,0.030273,0.021484,0.029297,0.019531,0.064453,0,0.019531,0.023438,0.051758,0,0.009766,0.009766,0.003906,0,0.022461,0.011719,0.001953,0.00293,0.017578,0.019531,0.074219,0.014648,0.017578,0.021484,0.019531,0.00293,0.005859,0.038086,0.025391,0.009766,0.00293,0.021484,0,0.037109,0.006836,0.00293,0.036133
14,Quercus_Brantii,0.005859,0.001953,0.033203,0.015625,0.001953,0,0.023438,0,0,0.021484,0.007812,0.033203,0.011719,0.003906,0.03125,0,0.011719,0.023438,0.005859,0.009766,0.072266,0.005859,0,0,0.009766,0.025391,0,0.011719,0.011719,0.009766,0.011719,0,0.019531,0,0.007812,0.001953,0.015625,0.033203,0.021484,0.007812,0.001953,0.011719,0.03125,0.003906,0.009766,0.011719,0.070312,0.10938,0.009766,0.048828,0.017578,0,0.046875,0.009766,0.019531,0.015625,0.007812,0.015625,0.025391,0,0,0,0.025391,0,0.001085,0.0011579,0.0010946,0.0010115,0.00093595,0.00089351,0.00084652,0.00079856,0.00075573,0.00071264,0.00066963,0.0006226,0.00057936,0.00053739,0.00050191,0.00046774,0.00044921,0.00044799,0.00045697,0.00046933,0.0005009,0.00053992,0.00058302,0.00063084,0.00068161,0.00074078,0.00080409,0.00086919,0.00094087,0.0010113,0.0010852,0.0011551,0.0012314,0.0011985,0.0011245,0.0010552,0.00098731,0.0009185,0.00085348,0.00079052,0.00073153,0.00067257,0.00062111,0.00057407,0.00052931,0.00048694,0.00046125,0.00045199,0.00044555,0.00045289,0.00047229,0.00049704,0.00052925,0.00057063,0.00061678,0.00066462,0.00071638,0.00076482,0.00081468,0.00084957,0.00088176,0.00091839,0.00095095,0.001001,0.032227,0.004883,0.004883,0.019531,0,0.011719,0.094727,0.001953,0.03418,0.020508,0,0,0.011719,0.009766,0,0,0.008789,0,0.10547,0.011719,0,0.000977,0.006836,0.003906,0.021484,0.001953,0.046875,0.003906,0.006836,0.012695,0.02832,0,0.000977,0.004883,0.006836,0,0,0.014648,0.075195,0.041016,0.007812,0.000977,0.032227,0.017578,0.019531,0.012695,0.023438,0,0.013672,0.001953,0,0,0.003906,0.082031,0,0,0.008789,0,0.017578,0,0,0.000977,0.033203,0.074219
15,Salix_Fragilis,0,0,0.009766,0.037109,0.072266,0,0,0,0.007812,0.001953,0,0.029297,0,0.003906,0.0625,0,0.005859,0,0.023438,0,0.001953,0,0,0,0.001953,0.019531,0,0.035156,0.001953,0.035156,0.027344,0,0,0,0,0,0.003906,0.083984,0.044922,0.0625,0.089844,0.007812,0.001953,0.035156,0.003906,0.078125,0.037109,0.007812,0.009766,0,0,0,0.025391,0.087891,0,0.005859,0.003906,0,0.013672,0.015625,0.001953,0,0,0.001953,0.00040565,0.0004607,0.00051693,0.00054202,0.00048489,0.00043194,0.00041847,0.00041127,0.00036602,0.00032135,0.00026378,0.00021461,0.0002046,0.0002303,0.00027261,0.00031044,0.00032939,0.00032335,0.00026549,0.00020829,0.00014958,0.0001218,0.00017776,0.00024325,0.0003052,0.00033105,0.0003776,0.00036948,0.00031919,0.00026715,0.0002803,0.00033636,0.00038087,0.00040397,0.00045902,0.00044762,0.00040227,0.00034647,0.00031237,0.00034772,0.00038952,0.00033453,0.00027997,0.00020825,0.00014463,0.00014482,0.00019891,0.00025901,0.00031685,0.00035111,0.00032107,0.00028075,0.00029501,0.0002764,0.00022042,0.00017241,0.00015336,0.0001936,0.00024856,0.00029462,0.00033158,0.00039385,0.00037636,0.00037307,0,0.007812,0,0.004883,0,0.033203,0,0,0.041016,0,0.058594,0,0,0,0.16699,0,0.033203,0,0.00293,0.003906,0,0.001953,0,0.005859,0.000977,0.09375,0,0,0.024414,0.001953,0.001953,0,0.006836,0,0,0,0.037109,0,0,0.001953,0,0,0,0,0,0,0,0,0.020508,0.041992,0.035156,0,0.022461,0,0,0,0,0.070312,0.013672,0.19238,0,0.074219,0,0
